"review_id","customer_id","product_id","product_parent","review_date"
"R1NBG94582SJE2",2975964,"B00I01JQJM",860486164,"2015-08-31"
"R273DCA6Y0H9V7",23526356,"B00TCO0ZAA",292641483,"2015-08-31"
"RQVOXO7WUOFK6",52764145,"B00B7733E0",75825744,"2015-08-31"
"R1KWKSF21PO6HO",47348933,"B006ZN4U34",789352955,"2015-08-31"
"R38H3UO1J190GI",33680700,"B00HUEBGMU",19067902,"2015-08-31"
"R3NPIFKLR19NQA",30301059,"B008MW6Y12",597683407,"2015-08-31"
"R3MBE6UCH3435E",28282645,"B00TE8XKIS",35563334,"2015-08-31"
"R2E7A4FF0PVY5Q",502818,"B00ZKDUFBQ",555190742,"2015-08-31"
"R3R8JDQ2BF4NM",1481233,"B010BZ7S2Q",129544315,"2015-08-31"
"R1YND4BS823GN5",27885926,"B00HRXSSRA",708418657,"2015-08-31"
"R2TZNSA18V7YF6",3183883,"B005C95NM4",246957815,"2015-08-31"
"R22ZVRDPPXIDNL",23208852,"B00LBIBYBE",746593019,"2015-08-31"
"R1F4O6WOO2W461",11438825,"B00X3HIM2U",444991975,"2015-08-31"
"RT1KLS3QSJNUT",50399582,"B00KDVQF8W",304104050,"2015-08-31"
"R222VYJL5K5IRS",36700181,"B00GUZEZL4",472875794,"2015-08-31"
"R31LUR7M4PQOLU",47818374,"B00FB1TBKS",710827451,"2015-08-31"
"R1OD3T3Q042LUQ",35272750,"B00GVMLPT6",269896170,"2015-08-31"
"R2QT68OZTT2YKE",11736306,"B00L8827BI",145946775,"2015-08-31"
"RMFQF59FG3TD1",52377008,"B00SIM78R0",972011051,"2015-08-31"
"R1QNYFW6G31R5T",6465510,"B00EDCZKJ2",258297575,"2015-08-31"
